Дата создания,06.04.2021,,,,,,,,,
,,,,,,,,,,
Категория,Артикул,Наименование,Высота поддона,Размер,Заднее стекло,Переднее стекло,Опт,РРЦ,Наличие,Резерв
Душевые кабины/Delight 110 high,DS01D110HWM00,"Душевая кабина DOMANI-Spa Delight 110 high, высокий поддон, белые стенки, сатин-матированное стекло, размер 100*100*218см, без упаковки для поддона",43,100х100,белое,сатин-матированное,20436,26567,>3,
Душевые кабины/Delight 110 high,DS01D110HBT00,"Душевая кабина DOMANI-Spa Delight 110 high, высокий поддон, черные стенки, тонированное стекло, размер 100*100*218см, без упаковки для поддона",43,100х100,черное,тонированное,20670,26871,>3,
Душевые кабины/Delight 110,DS01D110LWM00,"Душевая кабина DOMANI-Spa Delight 110, низкий поддон, белые стенки, сатин-матированное стекло, размер 100*100*218см, без упаковки для поддона",15,100х100,белое,сатин-матированное,21879,28443,>3,
Душевые кабины/Delight 110,DS01D110LBT00,"Душевая кабина DOMANI-Spa Delight 110, низкий поддон, черные стенки, тонированное стекло, размер 100*100*218см, без упаковки для поддона",15,100х100,черное,тонированное,21879,28443,>3,
Душевые кабины/Delight 128 high,DS01D128LHWM00,"Душевая кабина DOMANI-Spa Delight 128 high L, высокий поддон, белые стенки, сатин-матированное стекло, размер 120*80*218см,  без упаковки для поддона",45,120х80,белое,сатин-матированное,21528,27986,>3,
Душевые кабины/Delight 128 high,DS01D128LHBT00,"Душевая кабина DOMANI-Spa Delight 128 high L, высокий поддон, черные стенки, тонированное стекло, размер 120*80*218см, без упаковки для поддона",45,120х80,черное,тонированное,21528,27986,>3,
Душевые кабины/Delight 128 high,DS01D128RHWM00,"Душевая кабина DOMANI-Spa Delight 128 high R, высокий поддон, белые стенки, сатин-матированное стекло, размер 120*80*218см,  без упаковки для поддона",45,120х80,белое,сатин-матированное,21528,27986,>3,
Душевые кабины/Delight 128 high,DS01D128RHBT00,"Душевая кабина DOMANI-Spa Delight 128 high R, высокий поддон, черные стенки, тонированное стекло, размер 120*80*218см, без упаковки для поддона",45,120х80,черное,тонированное,21528,27986,>3,
Душевые кабины/Delight 128,DS01D128LLWM00,"Душевая кабина DOMANI-Spa Delight 128 L, низкий поддон, белые стенки, сатин-матированное стекло, размер 120*80*218см, без упаковки для поддона",15,120х80,белое,сатин-матированное,22880,29744,>3,
Душевые кабины/Delight 128,DS01D128LLBT00,"Душевая кабина DOMANI-Spa Delight 128 L, низкий поддон, черные стенки, тонированное стекло, размер 120*80*218см, без упаковки для поддона",15,120х80,черное,тонированное,23140,30082,>3,
Душевые кабины/Delight 128,DS01D128RLWM00,"Душевая кабина DOMANI-Spa Delight 128 R, низкий поддон, белые стенки, сатин-матированное стекло, размер 120*80*218см, без упаковки для поддона",15,120х80,белое,сатин-матированное,22880,29744,>3,
Душевые кабины/Delight 128,DS01D128RLBT00,"Душевая кабина DOMANI-Spa Delight 128 R, низкий поддон, черные стенки, тонированное стекло, размер 120*80*218см, без упаковки для поддона",15,120х80,черное,тонированное,23140,30082,>3,
Душевые кабины/Elegance high,DS01E99HACl10,"Душевая кабина DOMANI-Spa Elegance high, высокий поддон, стенка из Санитарного акрила, прозрачное стекло, кнопочный блок управления, вертикальный гидромассаж, размер 90*90*218см, без упаковки для поддона",45,90х90,акрил,прозрачное,24180,31434,>3,
Душевые кабины/Elegance,DS01E99LACl10,"Душевая кабина DOMANI-Spa Elegance, низкий поддон, стенка из Санитарного акрила, прозрачное стекло, кнопочный блок управления, вертикальный гидромассаж, размер 90*90*218см, без упаковки для поддона",15,90х90,акрил,прозрачное,25090,32617,>3,
Душевые кабины/Neat high,DS01N158HWCl10,"Душевая кабина DOMANI-Spa Neat high, высокий поддон, белые стенки, прозрачное стекло, кнопочный блок управления, вертикальный гидромассаж, размер 150*80*219см, без упаковки для поддона",50,150х81,белое,прозрачное,42445,55179,>3,
Душевые кабины/Neat high,DS01N158HBCl10,"Душевая кабина DOMANI-Spa Neat high, высокий поддон, черные стенки, прозрачное стекло, кнопочный блок управления, вертикальный гидромассаж, размер 150*80*219см, без упаковки для поддона",50,150х81,черное,прозрачное,42445,55179,>3,
Душевые кабины/Simple 99 high C КРЫШЕЙ,DS01Sm99HWCl00,"Душевая кабина DOMANI-Spa Simple 99 high С КРЫШЕЙ, высокий поддон, белые стенки, прозрачное стекло, размер 90*90*218 см, без упаковки для поддона",43,90х90,белое,прозрачное,14375,18688,>3,
Душевые кабины/Simple 99 high C КРЫШЕЙ,DS01Sm99HWM00,"Душевая кабина DOMANI-Spa Simple 99 high С КРЫШЕЙ, высокий поддон, белые стенки, сатин-матированное стекло, размер 90*90*218 см, без упаковки для поддона",43,90х90,белое,сатин-матированное,14538,18899,>3,
Душевые кабины/Simple 99 high C КРЫШЕЙ,DS01Sm99HBT00,"Душевая кабина DOMANI-Spa Simple 99 high С КРЫШЕЙ, высокий поддон, черные стенки, тонированное стекло, размер 90*90*218 см, без упаковки для поддона",43,90х90,черное,тонированное,15000,19500,>3,
Душевые кабины/Simple 99  C КРЫШЕЙ,DS01Sm99LWCl00,"Душевая кабина DOMANI-Spa Simple 99 С КРЫШЕЙ, низкий поддон, белые стенки, прозрачное стекло, размер 90*90*218 см, без упаковки для поддона",15,90х90,белое,прозрачное,15188,19744,>3,
Душевые кабины/Simple 99  C КРЫШЕЙ,DS01Sm99LBT00,"Душевая кабина DOMANI-Spa Simple 99 С КРЫШЕЙ, низкий поддон, черные стенки, тонированное стекло, размер 90*90*218 см, без упаковки для поддона",15,90х90,черное,тонированное,15688,20394,>3,
Душевые ограждения/Delight,DS0405D99H0Cl00,"Душевое ограждение DOMANI-Spa Delight 99 high, размер 90*90*195см, с высоким поддоном, прозрачное стекло, без сливного комплекта, без упаковки для поддона",45,90х90,нет,прозрачное,10088,13114,>3,
Душевые ограждения/Delight,DS0405D99M0Cl00,"Душевое ограждение DOMANI-Spa Delight 99 mid, размер 90*90*195см, со средним поддоном, прозрачное стекло, без сливного комплекта, без упаковки для поддона",30,90х90,нет,прозрачное,10212,13275,>3,
Душевые ограждения/Fit,DS04F99L0Cl00-10B,"Душевое ограждение Domani-Spa Fit 99, прозрачное стекло, без поддона, размер 90*90*180 см, Graphite профиль",нет,90х90,нет,прозрачное,5427,7055,>3,
Душевые ограждения/Fit,DS04F99L0Cl00,"Душевое ограждение DOMANI-Spa Fit 99, размер 90*90*180см, прозрачное стекло, без поддона",нет,90х90,нет,прозрачное,4934,6414,>3,
Душевые ограждения/Поддоны серии Fit,DS05F99L0000,"Поддон АКРИЛОВЫЙ для душевого ограждения DOMANI-Spa Fit 99, размер 90*90*15см, без сливного комплекта (сифон, гофра, кнопка-слив), без упаковки для поддона",15,90х90,-,-,4030,5239,>3,
Душевые ограждения/Сливные комплекты,DS08H,"сливной комплект для высокого поддона с волососборником (сифон, гофра, кнопка-слив)",,,,,481,625,>3,
Душевые ограждения/Сливные комплекты,DS08L,"сливной комплект для низкого поддона с волососборником (сифон, гофра, слив)",,,,,325,423,>3,
